"English" {
  "PLAY" "Play"
  "SETTINGS" "Settings"
  "HIGHSCORES" "Highscores"
  "ACHIEVEMENTS" "Achievements"
  "CREDITS" "Credits"
  "QUIT" "Quit"
  "ADJECTIVE_INFO" "{1}{2}"
  "A_ARTICLE" "a {1}"
  "ABANDON_GAME_CONFIRM" "Do you want to abandon your game? This is permanent and the save file will be removed!"
  "ABOMINATIONS_UPGRADE_TYPE" "automatons"
  "ABSORB_MINION_BUTTON" "Absorb"
  "ABSORB_TASK" "Absorb {1}"
  "ABUSE_TASK" "Abuse {1}"
  "ACHIEVEMENT_EFFECT_DESCRIPTION" "Unlocks an achievement."
  "ACHIEVEMENT_EFFECT_NAME" "Achievement unlock"
  "ADD_CONSUMABLE" "Add consumable"
  "ADD_DUNGEON" "Add"
  "ADD_EXPERIENCE_DESCRIPTION" "Increases creature's combat experience"
  "ADD_EXPERIENCE_NAME" "combat experience"
  "ADD_RETIRED_DUNGEONS" "Add retired dungeons"
  "ADD_TO_TEAM_ACTION" "Add to team"
  "ADVENTURER" "Adventurer"
  "AGGRAVATED_TRIGGER" "Aggravated by minions"
  "AGGRAVATES_ENEMIES" "{1} aggravates enemies"
  "AI_AFRAID_OF" "AI afraid of"
  "AIR_BLAST_EFFECT_DESCRIPTION" "Creates a directed blast of air that throws back creatures and items."
  "AIR_BLAST_EFFECT_NAME" "Air blast"
  "ALARM_EFFECT_DESCRIPTION" "Raises an alarm or alerts nearby creatures"
  "ALARM_EFFECT_NAME" "alarm"
  "ALL_CREATURES" "all creatures"
  "ALLIED_MAGICAL_FIELD_HIGHLIGHT" "Allied magical field"
  "ALLIES" "allies"
  "ALL_VILLAINS" "All villains"
  "ALLY_DOESNT_EXIST" "Ally doesn't exist"
  "A_MINION_BECOMES_PREGNANT" "A minion becomes pregnant"
  "AMULET_OF" "amulet of {1}"
  "AMULETS_OF" "amulets of {1}"
  "ANALYTICS_EFFECT_DESCRIPTION" "Triggers an analytics/logging event"
  "ANALYTICS_EFFECT_NAME" "analytics"
  "ANIMAL_PEN_MUST_BE_SEPARATE_HIGHLIGHT" "Animal pen must be separated from the outdoors and from all staircases using an animal fence"
  "ANIMATE_CORPSES_EFFECT_DESCRIPTION" "Animates up to {1} corpses from the surroundings."
  "ANIMATE_CORPSES_EFFECT_NAME" "animate corpses"
  "ANIMATED_OBJECT" "animated {1}"
  "ANIMATE_WEAPONS_EFFECT_DESCRIPTION" "Animates up to {1} weapons from the surroundings."
  "ANIMATE_WEAPONS_EFFECT_NAME" "animate weapons"
  "APPEARS" "{1} appears outnowhere!"
  "APPLYING_ITEM_TAKES_X_TURNS" "Applying {1} takes {2} turns. Are you sure you want to continue?"
  "A_PRISONER_IS_CONVERTED" "A prisoner is converted to your side"
  "ARCHERY_RANGE_TASK" "Shoot at the archery range"
  "ARM_BODY_PART" "arm"
  "ARMOR_DEGRADATION_DESCRIPTION" "Decreases armor capability"
  "ARMOR_DEGRADATION_NAME" "armor degradation"
  "ARMOR_ENCHANTMENT_DESCRIPTION" "Increases armor capability"
  "ARMOR_ENCHANTMENT_NAME" "armor enchantment"
  "ARMOR_UPGRADE_TYPE" "armor"
  "ARMS_BODY_PART" "arms"
  "A_SEX_ACT_BETWEEN" "a sex act between {1} and {2}"
  "ATTACK_ACTION" "Attack"
  "ATTACK_CREATURES_TASK" "Attack someone"
  "ATTACKER_AFFECTED_BY" "attacker affected by: {1}"
  "ATTACK_IS_HARMLESS" "The attack is harmless."
  "AUDIENCE_EFFECT_DESCRIPTION" "Summons all fighters defending the territory"
  "AUDIENCE_EFFECT_NAME" "audience"
  "AUDIENCE_SUMMONED" "Thy audience hath been summoned, {1}."
  "AUTOMATON_PART_EFFECT_DESCRIPTION" "Attaches an automaton part to the creature."
