PLAY "Play"
SETTINGS "Settings"
HIGHSCORES "Highscores"
ACHIEVEMENTS "Achievements"
CREDITS "Credits"
QUIT "Quit"
ADJECTIVE_INFO "{1}{2}"
A_ARTICLE "a {1}"
ABANDON_GAME_CONFIRM "Do you want to abandon your game? This is permanent and the save file will be removed!"
ABOMINATIONS_UPGRADE_TYPE "automatons"
ABSORB_MINION_BUTTON "Absorb"
ABSORB_TASK "Absorb {1}"
ABUSE_TASK "Abuse {1}"
ACHIEVEMENT_EFFECT_DESCRIPTION "Unlocks an achievement."
ACHIEVEMENT_EFFECT_NAME "Achievement unlock"
ADD_CONSUMABLE "Add consumable"
ADD_DUNGEON "Add"
ADD_EXPERIENCE_DESCRIPTION "Increases creature's combat experience"
ADD_EXPERIENCE_NAME "combat experience"
ADD_RETIRED_DUNGEONS "Add retired dungeons"
ADD_TO_TEAM_ACTION "Add to team"
ADVENTURER "Adventurer"
AGGRAVATED_TRIGGER "Aggravated by minions"
AGGRAVATES_ENEMIES "{1} aggravates enemies"
AI_AFRAID_OF "AI afraid of"
AIR_BLAST_EFFECT_DESCRIPTION "Creates a directed blast of air that throws back creatures and items."
AIR_BLAST_EFFECT_NAME "Air blast"
ALARM_EFFECT_DESCRIPTION "Raises an alarm or alerts nearby creatures"
ALARM_EFFECT_NAME "alarm"
ALL_CREATURES "all creatures"
ALLIED_MAGICAL_FIELD_HIGHLIGHT "Allied magical field"
ALLIES "allies"
ALL_VILLAINS "All villains"
ALLY_DOESNT_EXIST "Ally doesn't exist"
A_MINION_BECOMES_PREGNANT "A minion becomes pregnant"
AMULET_OF "amulet of {1}"
AMULETS_OF "amulets of {1}"
ANALYTICS_EFFECT_DESCRIPTION "Triggers an analytics/logging event"
ANALYTICS_EFFECT_NAME "analytics"
ANIMAL_PEN_MUST_BE_SEPARATE_HIGHLIGHT "Animal pen must be separated from the outdoors and from all staircases using an animal fence"
ANIMATE_CORPSES_EFFECT_DESCRIPTION "Animates up to {1} corpses from the surroundings."
ANIMATE_CORPSES_EFFECT_NAME "animate corpses"
ANIMATED_OBJECT "animated {1}"
ANIMATE_WEAPONS_EFFECT_DESCRIPTION "Animates up to {1} weapons from the surroundings."
ANIMATE_WEAPONS_EFFECT_NAME "animate weapons"
APPEARS "{1} appears outnowhere!"
APPLYING_ITEM_TAKES_X_TURNS "Applying {1} takes {2} turns. Are you sure you want to continue?"
A_PRISONER_IS_CONVERTED "A prisoner is converted to your side"
ARCHERY_RANGE_TASK "Shoot at the archery range"
ARM_BODY_PART "arm" "arms" : plural
ARMOR_DEGRADATION_DESCRIPTION "Decreases armor capability"
ARMOR_DEGRADATION_NAME "armor degradation"
ARMOR_ENCHANTMENT_DESCRIPTION "Increases armor capability"
ARMOR_ENCHANTMENT_NAME "armor enchantment"
ARMOR_UPGRADE_TYPE "armor"
A_SEX_ACT_BETWEEN "a sex act between {1} and {2}"
ATTACK_ACTION "Attack"
ATTACK_CREATURES_TASK "Attack someone"
ATTACKER_AFFECTED_BY "attacker affected by: {1}"
ATTACK_IS_HARMLESS "The attack is harmless."
AUDIENCE_EFFECT_DESCRIPTION "Summons all fighters defending the territory"
AUDIENCE_EFFECT_NAME "audience"
AUDIENCE_SUMMONED "Thy audience hath been summoned, {1}."
AUDIENCE_SUMMONED2 "The audience has been summoned."
AUTOMATON_PART_EFFECT_DESCRIPTION "Attaches an automaton part to the creature."
AUTOMATON_PART_EFFECT_NAME "attach automaton part"
AUTOMATONS "automatons"
AVAILABLE_ITEMS_TITLE "Available items:"
AVAILABLE_STEEDS "Available steeds ({1}):"
BACK_BODY_PART "back" "backs" : plural
BALSAMS_UPGRADE_HINT "You can upgrade your minions while crafting them by using balsams made in the laboratory."
BANISH_EFFECT_DESCRIPTION "Creature will leave its village forever."
BANISH_EFFECT_NAME "banish"
BASHES_FURNITURE "{1} bashes the {2}"
BECOMES "{1} becomes {2}."
BECOME "You become {1}."
BED "bed"
BEDS "beds"
BLEEDING_EFFECT_DESCRIPTION "Causes bleeding."
BLEEDING_EFFECT_NAME "bleeding"
BLOODY_WATER "bloody water"
BODIES_UPGRADE_TYPE "bodies"
BODY_PART_GROWS_BACK "{1} grows back!"
BODY_PART_IS_IN_BETTER_SHAPE "{1} is in better shape"
BODY_PART_NUMBER "{1} {2}"
BODY_PARTS_ARE_IN_BETTER_SHAPE "{1} are in better shape"
BODY_PARTS_GROW_BACK "{1} grow back!"
BOILS_AND_EXPLODES "{1} boils and explodes!"
BOULDER "boulder"
BREACH_TRIGGER "Breach of territory"
BREAK_FREE "You break free."
BUFF_ADJECTIVE_AGGRAVATES "Aggravates enemies"
BUFF_ADJECTIVE_ARCHER_VISION "Can see through arrowslits"
BUFF_ADJECTIVE_CAN_DANCE "Can dance all night long."
BUFF_ADJECTIVE_CAPTURE_RESISTANCE "Resistant to capturing"
BUFF_ADJECTIVE_DARKNESS_SOURCE "Source of darkness"
BUFF_ADJECTIVE_DRUNK "Drunk"
BUFF_ADJECTIVE_ELF_VISION "Can see through trees"
BUFF_ADJECTIVE_ENTERTAINER "Entertainer"
BUFF_ADJECTIVE_FAST_CRAFTING "Fast craftsman"
BUFF_ADJECTIVE_FAST_TRAINING "Fast trainee"
BUFF_ADJECTIVE_FLYING "Flying"
BUFF_ADJECTIVE_HALLU "Hallucinating"
BUFF_ADJECTIVE_INVISIBLE "Invisible"
BUFF_ADJECTIVE_LIFE_SAVED "Life will be saved"
BUFF_ADJECTIVE_LIGHT_SOURCE "Source of light"
BUFF_ADJECTIVE_LOCKED_POSITION "Locked position"
BUFF_ADJECTIVE_NIGHT_VISION "Can see in the dark"
BUFF_ADJECTIVE_NO_CARRY_LIMIT "Infinite carrying capacity"
BUFF_ADJECTIVE_NO_FRIENDLY_FIRE "No friendly fire"
BUFF_ADJECTIVE_PLAGUE_RESISTANT "Plague resistant"
BUFF_ADJECTIVE_POISON_RESISTANT "Poison resistant"
BUFF_ADJECTIVE_POLYMORPHED "Polymorphed"
BUFF_ADJECTIVE_PREGNANT "Pregnant"
BUFF_ADJECTIVE_PSYCHIATRY "Psychiatrist"
BUFF_ADJECTIVE_RAGE "Enraged"
BUFF_ADJECTIVE_RESTED "Rested"
BUFF_ADJECTIVE_RIDER "Rider"
BUFF_ADJECTIVE_SATIATED "Satiated"
BUFF_ADJECTIVE_SLEEP_RESISTANT "Sleep resistant"
BUFF_ADJECTIVE_SPEED "Speed bonus"
BUFF_ADJECTIVE_SPYING "Spy"
BUFF_ADJECTIVE_STEED "Steed"
BUFF_ADJECTIVE_SWARMER "Swarmer"
BUFF_ADJECTIVE_TELEPATHY "Telepathic"
BUFF_ADJECTIVE_WARNING "Aware of danger"
BUILD_FURNITURE_TASK "Build {1} at {2}"
BUILD_MORGUE_HINT "Build a morgue table to craft undead."
BURNED_DEATH_REASON "burned to death"
BURNS_IN "{1} burns in the {2}"
BUTCHER_TITLE "the butcher of {1}"
CAGE "cage"
CAGES "cages"
CAMPAIGN_DIFFICULTY "Difficulty"
CAMPAIGN_HELP_BUTTON "Help"
CAMPAIGN_VILLAIN_DEFEATED "Defeated"
CAMPAIGN_VILLAIN_EXP "Experience: {1}"
CAMPAIGN_WORLD_NAME "World name: {1}"
CAMP_AND_SPAWN_TASK "Camp and spawn"
CANCEL_CAPTURE_ORDER_ACTION "Cancel capture order"
CAN_ENTER_POSITION "can enter position"
CAN_NOT_AFFORD_ITEM "Cannot afford item."
CANNOT_AFFORD_ITEM "Cannot afford item"
CAN_SEE_HIDING "{1} can see you hiding."
CAN_SEE_IN_THE_DARK "{1} can see in the dark."
CAN_SEE_THRU_ARROWSLITS "{1} can see and shoot through arrowslits."
CAN_SEE_THRU_TREES "{1} can see through trees."
CANT_MOVE_ANYMORE "{1} can't move anymore."
CASTS_SPELL "{1} casts a spell"
CHANCE_EFFECT_DESCRIPTION "{1} ({2}% chance)"
CHANCE_OF_PRISONER_ESCAPE "Chance of prisoner escape: "
GRANT_ABILITY_EFFECT_DESCRIPTION "Grants ability"
GRANT_ABILITY_EFFECT_NAME "grant ability"
CHANGE_NAME_EFFECT_DESCRIPTION "Changes creature's name to \"{1}\""
CHANGE_NAME_EFFECT_NAME "change name"
CHANGE_SPRITE_EFFECT_DESCRIPTION "Changes creature's sprite"
CHANGE_SPRITE_EFFECT_NAME "set sprite"
CHAT_ACTION "Chat"
CIVILIAN_STATUS "Civilian"
CLAIM_TILE_EFFECT_DESCRIPTION "Claims the tile as the player's territory"
CLAIM_TILE_EFFECT_NAME "claim tile"
CLICK_TO "Click to {1}"
CLOSE_BUTTON "Close"
COFFIN "coffin"
COFFINS "coffins"
COLLAPSES "{1} collapses."
COLOR_VARIANT_EFFECT_DESCRIPTION "Changes the color variant of a creature"
COLOR_VARIANT_EFFECT_NAME "color change"
COMMA "{1}, {2}"
COMMANDS_BUTTON "Commands"
CONFIRM_BANISH "Do you want to banish {1} forever? Banishing has a negative impact on the morale of other minions."
CONFIRM_BUTTON "Confirm"
CONFIRM_DISASSEMBLE "Do you want to disassemble {1}?"
CONFIRM_NO_RETIRED_DUNGEONS "The imps are going to be sad if you don't add any retired dungeons. Continue?"
CONSUMABLES_GROUP "consumables"
CONSUMABLES_LABEL "Consumables"
CONSUME_ITEM_TASK "Consume item"
YOU_ABSORB "You absorb {1}."
ABSORBS "{1} absorbs {2}."
CONTINUE "Continue"
CONTROL_MINION_BUTTON "Control"
COPULATEES "{1} makes love to {2}"
COPULATE_TASK "Copulate with {1}"
YOU_COPULATE "You copulate with {1}."
COPULATES "{1} copulates with {2}."
COPY_SETTING_TO_GROUP "Copy setting to all {1}"
CORPSE_ITEM "{1} corpse"
COVERED_IN_OIL "covered in oil!"
CRAFTED_FROM "Crafted from {1}"
CRAFTED_ITEMS_LABEL "Crafted items"
CRAFTING_UPDATE_FOR "Crafting upgrade for {1}:"
IS_CRAWLING "{1} is crawling."
YOU_CRAWLING "You are crawling."
CREATE_FURNITURE_DESCRIPTION "Creates a {1}"
CREATE_ITEMS_DESCRIPTION "Creates items"
CREATE_ITEMS_NAME "create items"
CREATURE_INVENTORY_TITLE "Inventory:"
CREATURE_REQUIRES_QUARTERS "Creature requires personal quarters to realize combat experience."
CREATURE_REQUIRES_QUARTERS_WITH_LUXURY "Creature requires personal quarters with {1} units of luxury."
CREATURES_AFFECTED_BY "affected by {1}"
CREATURES_EXP_LEVEL_BELOW "with experience level below {1}"
CREATURES_HOLDING_INGREDIENT "holding {1}"
CREATURES_MADE_OF_MATERIAL "made of {1}"
CREATURES_WITH_HEALTH_BETWEEN "with health between {1} and {2}"
CREATURE_TITLE "{1} the {2}"
CURRENTLY_NOT_RIDING_STEED "Currently not riding."
CURRENTLY_RIDING_STEED "Currently riding."
CUTS_FURNITURE "{1} cuts the {2}."
DANCE_TASK "Dance"
DEATH "Death"
DEBT_BUTTON "Debt"
DEMAND_GOLD "{1} demand {2} gold for not attacking. Agree?"
DEPICTS "Depicts {1}"
DESCRIPTION_EFFECT_NAME "description effect"
DESTROY_EQUIPMENT_EFFECT_DESCRIPTION "Destroys a random piece of equipment."
DESTROY_EQUIPMENT_EFFECT_NAME "equipment destruction"
DESTROYS_FURNITURE "{1} destroys the {2}"
DESTROY_WALLS_EFFECT_DESCRIPTION "Destroys terrain and objects."
DESTROY_WALLS_EFFECT_NAME "destruction"
DEVELOPS_ATTACK "{1} develops a {2} attack."
DIES_OF "{1} dies of {2}."
DIES_OF_POISONING "{1} dies of poisoning."
DIGGING_TASK_HIGHLIGHT "Digging task"
DIGS_INTO_FURNITURE "{1} digs into the {2}."
DISAPPEARS "{1} disappears!"
DISAPPEAR_TASK "Disappear"
